value,date_earliest,date_latest
25 Oktbr  1386,25.10.1386,25.10.1386
4 Novbr  1386,04.11.1386,04.11.1386
19 Novbr  1386,19.11.1386,19.11.1386
3 Decbr  1386,03.12.1386,03.12.1386
17 Marts 1387,17.03.1387,17.03.1387
8 Septbr  1387,08.09.1387,08.09.1387
14 Novbr  1387,14.11.1387,14.11.1387
6 Marts 1388,06.03.1388,06.03.1388
22 April 1389,22.04.1389,22.04.1389
16 Mai 1389 1,16.05.1389,16.05.1389
27 Mai 1389,27.05.1389,27.05.1389
9 Juni 1389,09.06.1389,09.06.1389
29 Juni 1389,29.06.1389,29.06.1389
3 Oktbr  1389,03.10.1389,03.10.1389
21 Oktbr  1389,21.10.1389,21.10.1389
3 Novbr  1389,03.11.1389,03.11.1389
10 Novbr  1389,10.11.1389,10.11.1389
1 Febr  1390,01.02.1390,01.02.1390
4 Febr  1390,04.02.1390,04.02.1390
11 Marts 1390,11.03.1390,11.03.1390
26 Marts 1390,26.03.1390,26.03.1390
7 April 1390,07.04.1390,07.04.1390
18 Oktbr  1390,18.10.1390,18.10.1390
17 Novbr  1390,17.11.1390,17.11.1390
26 Februar 1391,26.02.1391,26.02.1391
18 Marts 1391,18.03.1391,18.03.1391
18 April 1391,18.04.1391,18.04.1391
24 Juli 1391?,24.07.1391,24.07.1391
2 Novbr  1391,02.11.1391,02.11.1391
5 Decbr  1391,05.12.1391,05.12.1391
14 Decbr  1391,14.12.1391,14.12.1391
uden Dag 1391-1392,01.01.1391,31.12.1392
28 Februar 1392,28.02.1392,28.02.1392
16 April 1392,16.04.1392,16.04.1392
13 Juni 1392,13.06.1392,13.06.1392
7 Marts 1393,07.03.1393,07.03.1393
21 April 1393,21.04.1393,21.04.1393
21 Decbr  1393,21.12.1393,21.12.1393
28 Januar 1394,28.01.1394,28.01.1394
18 Februar 1394,18.02.1394,18.02.1394
12 Septbr  [1394] 1,12.09.1394,12.09.1394
8 Oktbr  1394,08.10.1394,08.10.1394
11 Juni 1395,11.06.1395,11.06.1395
12 Juni 1395,12.06.1395,12.06.1395
19 Decbr  1395,19.12.1395,19.12.1395
15 Juli 1396,15.07.1396,15.07.1396
20 Septbr  1396,20.09.1396,20.09.1396
7 Oktbr  1396,07.10.1396,07.10.1396
5 Novbr  1396,05.11.1396,05.11.1396
12 Decbr  1396,12.12.1396,12.12.1396
20 Marts 1397,20.03.1397,20.03.1397
23 Marts 1397,23.03.1397,23.03.1397
16 Mai 1397,16.05.1397,16.05.1397
13 Oktbr  1397,13.10.1397,13.10.1397
19 Novbr  1397,19.11.1397,19.11.1397
2 Marts 1398,02.03.1398,02.03.1398
24 Marts 1398,24.03.1398,24.03.1398
16 April 1398,16.04.1398,16.04.1398
11 Mai 1398,11.05.1398,11.05.1398
27 Oktbr  1398,27.10.1398,27.10.1398
19 Decbr  1398,19.12.1398,19.12.1398
26 Marts 1399,26.03.1399,26.03.1399
5 April 1399,05.04.1399,05.04.1399
24 April 1399,24.04.1399,24.04.1399
27 Februar 1400,27.02.1400,27.02.1400
28 Marts 1400,28.03.1400,28.03.1400
30 Marts 1400,30.03.1400,30.03.1400
11 Juli 1400,11.07.1400,11.07.1400
uden Dag 1400,01.01.1400,31.12.1400
16 Marts 1401,16.03.1401,16.03.1401
26 August 1401,26.08.1401,26.08.1401
7 Decbr  1401,07.12.1401,07.12.1401
13 Februar 1402,13.02.1402,13.02.1402
25 Marts 1402,25.03.1402,25.03.1402
8 Mai 1402,08.05.1402,08.05.1402
24 Oktbr  1402,24.10.1402,24.10.1402
11 Novbr  1402,11.11.1402,11.11.1402
26 Novbr  1402,26.11.1402,26.11.1402
uden Dag 1402,01.01.1402,31.12.1402
10 Marts 1403,10.03.1403,10.03.1403
15 Juni 1403,15.06.1403,15.06.1403
22 August 1403,22.08.1403,22.08.1403
7 Septbr  1403,07.09.1403,07.09.1403
7 Oktbr  1403,07.10.1403,07.10.1403
22 Marts 1404,22.03.1404,22.03.1404
